#Detector	X	Y	Landscape
11	567489	9577890	/1
12	567485	9577894	/1
13	567481	9577890	/1
14	567485	9577886	/1
21	567475	9577786	/1
22	567471	9577790	/1
23	567467	9577786	/1
24	567471	9577782	/1
31	567292	9577761	/2
32	567288	9577765	/2
33	567284	9577761	/2
34	567288	9577757	/2
41	567249	9577785	/3
42	567245	9577789	/3
43	567241	9577785	/3
44	567245	9577781	/3
