name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Fernando de Noronha,5/20/2022,30,25,27.2,36.2,25,29.8,24.3,84.5,0,0,0,,0,0,20.5,16.6,105.1,1014.4,37.9,10,268.5,23.3,9,10,2022-05-20T06:08:16,2022-05-20T18:04:08,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFN,82400099999"
Fernando de Noronha,5/21/2022,30,26,27.9,36.2,26,31.7,24,79.6,2.7,100,20.83,rain,0,0,28.4,22.3,139.4,1015.6,26.2,10,265.1,22.7,9,30,2022-05-21T06:08:23,2022-05-21T18:04:08,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"SBFN,82400099999"
Fernando de Noronha,5/22/2022,30,25,27.3,36.2,25,29.5,23.6,80.5,7.4,100,50,rain,0,0,42.5,24.1,141.1,1015,53.1,9.7,252.8,22.1,9,30,2022-05-22T06:08:31,2022-05-22T18:04:10,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBFN,82400099999"
Fernando de Noronha,5/23/2022,30,24,26.7,35.1,24,28.6,23.4,82.5,4.5,100,25,rain,0,0,21.2,14.8,104.6,1014,22.2,10,263.6,22.8,9,10,2022-05-23T06:08:39,2022-05-23T18:04:11,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"SBFN,82400099999"
Fernando de Noronha,5/24/2022,29,24,26.5,33.5,24,27.9,22.8,80.3,1.1,100,16.67,rain,0,0,15.8,14.8,122.6,1014,26.5,10,263.8,22.6,9,30,2022-05-24T06:08:48,2022-05-24T18:04:14,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"SBFN,82400099999"
Fernando de Noronha,5/25/2022,29,24,26.3,33.5,24,27.6,23.6,85.3,4.8,100,29.17,rain,0,0,18.7,14.8,163.2,1014.7,36.2,9.5,258,22.2,9,30,2022-05-25T06:08:57,2022-05-25T18:04:16,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBFN,82400099999"
Fernando de Noronha,5/26/2022,30,25,26.8,36.2,25,29,24.4,86.8,5.1,100,41.67,rain,0,0,29.2,27.7,127.7,1013.5,63.9,10,257,22.1,9,30,2022-05-26T06:09:06,2022-05-26T18:04:20,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBFN,82400099999"
Fernando de Noronha,5/27/2022,29,25,26.7,33.5,25,28.5,23.7,83.8,8.7,100,62.5,rain,0,0,24.5,14.8,61.1,1013.1,44.5,10,253.1,21.9,9,30,2022-05-27T06:09:16,2022-05-27T18:04:24,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBFN,82400099999"
Fernando de Noronha,5/28/2022,29,24,26.6,33.5,24,28.4,23,80.9,2.1,100,16.67,rain,0,0,24.5,11.2,75.3,1012.5,46.8,10,252.9,21.8,9,10,2022-05-28T06:09:26,2022-05-28T18:04:29,0.93,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"SBFN,82400099999"
Fernando de Noronha,5/29/2022,29,23.1,25.4,34.5,23.1,26.2,23.9,91.9,17,100,79.17,rain,0,0,28.8,24.1,111.3,1012,56.5,9.2,250.2,21.5,9,30,2022-05-29T06:09:37,2022-05-29T18:04:34,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBFN,82400099999"
Fernando de Noronha,5/30/2022,30,25,27.3,36.2,25,29.5,23.4,79.5,0.4,100,12.5,rain,0,0,29.9,22.3,101.6,1011,42,10,261.1,22.5,9,30,2022-05-30T06:09:48,2022-05-30T18:04:39,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBFN,82400099999"
Fernando de Noronha,5/31/2022,30,26,27.8,36.2,26,31,23.6,78,3.9,100,41.67,rain,0,0,32.8,20.5,90.1,1010.5,40.7,10,254.9,22,9,30,2022-05-31T06:09:59,2022-05-31T18:04:46,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBFN,82400099999"
Fernando de Noronha,6/25/2022,29,23,26.5,33.5,23,27.7,22.8,80.4,6.4,100,62.5,rain,0,0,32.8,22.3,114.8,1012.2,44.5,9.8,245,21.1,8,10,2022-06-25T06:15:22,2022-06-25T18:09:20,0.88,"Rain, Partially cloudy",Becoming cloudy in the afternoon with a chance of rain throughout the day.,rain,"SBFN,82400099999"
Fernando de Noronha,6/26/2022,29,25,26.5,33.5,25,27.9,22.5,78.7,2,100,20.83,rain,0,0,20.5,18.4,100.7,1012.1,42.6,10,250.2,21.7,9,10,2022-06-26T06:15:35,2022-06-26T18:09:33,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBFN,82400099999"
Fernando de Noronha,6/27/2022,29,24,26.5,33.5,24,27.9,22.8,80.5,0.3,100,4.17,rain,0,0,25.6,16.6,115.4,1012.8,33.3,10,253,21.9,9,30,2022-06-27T06:15:46,2022-06-27T18:09:47,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBFN,82400099999"
Fernando de Noronha,6/28/2022,30,25,27,36.2,25,28.8,23.2,80.4,7.7,100,58.33,rain,0,0,23.4,19.4,88.2,1013.9,51.9,10.2,239.6,20.7,8,30,2022-06-28T06:15:58,2022-06-28T18:10:00,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBFN,82400099999,remote"
Fernando de Noronha,6/29/2022,29,25,26.6,33.5,25,28.2,23.3,82.6,5,100,54.17,rain,0,0,18.7,13,108.6,1014.5,29.4,10,249.6,21.6,9,30,2022-06-29T06:16:09,2022-06-29T18:10:13,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBFN,82400099999"
Fernando de Noronha,6/30/2022,30,24,26.4,35.1,24,27.6,23.4,84,5.7,100,54.17,rain,0,0,38.9,21.2,124.6,1013.6,38.1,10.1,252.6,21.9,9,10,2022-06-30T06:16:20,2022-06-30T18:10:26,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBFN,82400099999,remote"
Fernando de Noronha,7/1/2022,30,24,26.8,35.1,24,29,23.7,83.4,2.6,100,45.83,rain,0,0,32.4,16.6,104.9,1013.3,55.7,9.5,251.1,21.7,9,30,2022-07-01T06:16:31,2022-07-01T18:10:39,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBFN,82400099999"
